Nom	Nature	Classe	Structure	Effort nominal	Tau	Effort transversal en DP	Tau en DP	Caché	Hauteur totale	Element de base	Nom CAPFT	NomGESPOT	Description	Largeurbase	Epaisseurbase	bC3	bC3C	Graphique
10 JB 6,5   	BE	JB  	S	13	0.6	-1	1000	0	10	-1	10 JB 6,5   		Ancien poteau béton jumelé	528	400	0	0	RECTD
10 JB 8     	BE	JB  	S	16	0.6	-1	1000	0	10	-1	10 JB 8     		Ancien poteau béton jumelé	576	440	0	0	RECTD
10 JB 10    	BE	JB  	S	20	0.6	-1	1000	0	10	-1	10 JB 10    		Ancien poteau béton jumelé	576	440	0	0	RECTD
10 JB 12,5  	BE	JB  	S	25	0.6	-1	1000	0	10	-1	10 JB 12,5  		Ancien poteau béton jumelé	576	440	0	0	RECTD
10 JB 16    	BE	JB  	S	32	0.6	-1	1000	0	10	-1	10 JB 16    		Ancien poteau béton jumelé	624	480	0	0	RECTD
10 JB 20    	BE	JB  	S	40	0.6	-1	1000	0	10	-1	10 JB 20    		Ancien poteau béton jumelé	672	520	0	0	RECTD
10 JB 25    	BE	JB  	S	50	0.6	-1	1000	0	10	-1	10 JB 25    		Ancien poteau béton jumelé	720	560	0	0	RECTD
10 JC 1,5   	BE	JC  	S	3	1	-1	1000	0	10	-1	10 JC 1,5   		Ancien poteau béton jumelé	300	600	0	0	RECTD
10 JC 2     	BE	JC  	S	4	1	-1	1000	0	10	-1	10 JC 2     		Ancien poteau béton jumelé	300	600	0	0	RECTD
10 JC 2,5   	BE	JC  	S	5	1	-1	1000	0	10	-1	10 JC 2,5   		Ancien poteau béton jumelé	330	660	0	0	RECTD
10 JC 3     	BE	JC  	S	6	1	-1	1000	0	10	-1	10 JC 3     		Ancien poteau béton jumelé	330	660	0	0	RECTD
10 JC 4     	BE	JC  	S	8	1	-1	1000	0	10	-1	10 JC 4     		Ancien poteau béton jumelé	330	660	0	0	RECTD
10 JC 5     	BE	JC  	S	10	1	-1	1000	0	10	-1	10 JC 5     		Ancien poteau béton jumelé	365	730	0	0	RECTD
10 JC 6,5   	BE	JC  	S	13	1	-1	1000	0	10	-1	10 JC 6,5   		Ancien poteau béton jumelé	365	730	0	0	RECTD
10 JC 8     	BE	JC  	S	16	1	-1	1000	0	10	-1	10 JC 8     		Ancien poteau béton jumelé	400	800	0	0	RECTD
10 JC 10    	BE	JC  	S	20	1	-1	1000	0	10	-1	10 JC 10    		Ancien poteau béton jumelé	400	800	0	0	RECTD
10 JC 12,5  	BE	JC  	S	25	1	-1	1000	0	10	-1	10 JC 12,5  		Ancien poteau béton jumelé	435	870	0	0	RECTD
10 JC 16    	BE	JC  	S	32	1	-1	1000	0	10	-1	10 JC 16    		Ancien poteau béton jumelé	470	940	0	0	RECTD
10 JC 20    	BE	JC  	S	40	1	-1	1000	0	10	-1	10 JC 20    		Ancien poteau béton jumelé	470	940	0	0	RECTD
10 JC 25    	BE	JC  	S	50	1	-1	1000	0	10	-1	10 JC 25    		Ancien poteau béton jumelé	505	1010	0	0	RECTD
10 JD 1,25  	BE	JD  	S	2.5	0.5	-1	1000	0	10	-1	10 JD 1,25  		Béton rectangulaire jumelé	480	340	65	60	RECTD
10 JD 1,6   	BE	JD  	S	3.2	0.5	-1	1000	0	10	-1	10 JD 1,6   		Béton rectangulaire jumelé	480	340	65	65	RECTD
10 JD 2     	BE	JD  	S	4	0.5	-1	1000	0	10	-1	10 JD 2     		Béton rectangulaire jumelé	500	360	65	65	RECTD
10 JD 2,5   	BE	JD  	S	5	0.5	-1	1000	0	10	-1	10 JD 2,5   		Béton rectangulaire jumelé	500	360	65	70	RECTD
10 JD 3,2   	BE	JD  	S	6.5	0.5	-1	1000	0	10	-1	10 JD 3,2   		Béton rectangulaire jumelé	540	400	70	75	RECTD
10 JD 4     	BE	JD  	S	8	0.5	-1	1000	0	10	-1	10 JD 4     		Béton rectangulaire jumelé	540	400	70	80	RECTD
10 JD 5     	BE	JD  	S	10	0.5	-1	1000	0	10	-1	10 JD 5     		Béton rectangulaire jumelé	580	440	75	80	RECTD
10 JD 6,5   	BE	JD  	S	12.5	0.5	-1	1000	0	10	-1	10 JD 6,5   		Béton rectangulaire jumelé	580	440	75	85	RECTD
10 JD 8     	BE	JD  	S	16	0.5	-1	1000	0	10	-1	10 JD 8     		Béton rectangulaire jumelé	620	480	85	0	RECTD
10 JD 10    	BE	JD  	S	20	0.5	-1	1000	0	10	-1	10 JD 10    		Béton rectangulaire jumelé	660	520	110	0	RECTD
10 JD 12,5  	BE	JD  	S	25	0.5	-1	1000	0	10	-1	10 JD 12,5  		Béton rectangulaire jumelé	660	520	130	0	RECTD
10 JD 16    	BE	JD  	S	32	0.5	-1	1000	0	10	-1	10 JD 16    		Béton rectangulaire jumelé	700	560	160	0	RECTD
10 ER 8     	BE	ER  	S	8	0	-1	1000	0	10	-1	10 ER 8     		Béton simple carré	475	475	60	80	CARRE
10 ER 10    	BE	ER  	S	10	0	-1	1000	0	10	-1	10 ER 10    		Béton simple carré	500	500	65	80	CARRE
10 ER 12.5  	BE	ER  	S	12.5	0	-1	1000	0	10	-1	10 ER 12.5  		Béton simple carré	525	525	70	85	CARRE
10 ER 16    	BE	ER  	S	16	0	-1	1000	0	10	-1	10 ER 16    		Béton simple carré	550	550	85	0	CARRE
10 ER 20    	BE	ER  	S	20	0	-1	1000	0	10	-1	10 ER 20    		Béton simple carré	575	575	110	0	CARRE
10 JER 8    	BE	JER 	S	16	0	-1	1000	0	10	-1	10 JER 8    		Béton carré jumelé	475	950	85	0	RECTD
10 JER 10   	BE	JER 	S	20	0	-1	1000	0	10	-1	10 JER 10   		Béton carré jumelé	500	1000	110	0	RECTD
10 JER 12.5 	BE	JER 	S	25	0	-1	1000	0	10	-1	10 JER 12.5 		Béton carré jumelé	525	1050	130	0	RECTD
10 JER 16   	BE	JER 	S	32	0	-1	1000	0	10	-1	10 JER 16   		Béton carré jumelé	550	1100	160	0	RECTD
10 JER 20   	BE	JER 	S	40	0	-1	1000	0	10	-1	10 JER 20   		Béton carré jumelé	575	1150	180	0	RECTD
11 S 1      	BO	S   	S	1	0	0.35	0	0	11	-1	11 S 1      		Simple bois	197	197	35	35	RONDBT
11 S 1,4    	BO	S   	S	1.4	0	0.45	0	0	11	-1	11 S 1,4    		Simple bois	217	217	35	40	RONDBT
11 S 1,9    	BO	S   	S	1.9	0	0.65	0	0	11	-1	11 S 1,9    		Simple bois	238	238	40	40	RONDBT
11 S 2,55   	BO	S   	S	2.55	0	0.85	0	0	11	-1	11 S 2,55   		Simple bois	258	258	45	55	RONDBT
11 S 3,25   	BO	S   	S	3.25	0	1.1	0	0	11	-1	11 S 3,25   		Simple bois	278	278	60	80	RONDBT
11 S 4,3    	BO	S   	S	4.3	0	1.5	0	0	11	-1	11 S 4,3    		Simple bois	304	304	70	90	RONDBT
11 S 5,5    	BO	S   	S	5.5	0	2	0	0	11	-1	11 S 5,5    		Simple bois	329	329	85	0	RONDBT
11 JS 1     	BO	JS  	S	2.55	0.85	1	0.66	0	11	-1	11 JS 1     		Jumelé bois	197	394	45	55	RONDD
11 JS 1,4   	BO	JS  	S	3.2	0.85	1.4	0.66	0	11	-1	11 JS 1,4   		Jumelé bois	217	434	65	80	RONDD
11 JS 1,9   	BO	JS  	S	5	0.85	2	0.66	0	11	-1	11 JS 1,9   		Jumelé bois	238	476	85	0	RONDD
11 JS 2,55  	BO	JS  	S	6.5	0.85	2.6	0.66	0	11	-1	11 JS 2,55  		Jumelé bois	258	516	100	0	RONDD
11 JS 3,25  	BO	JS  	S	8	0.85	3.3	0.66	0	11	-1	11 JS 3,25  		Jumelé bois	278	556	125	0	RONDD
11 JS 4,3   	BO	JS  	S	10.1	0.85	4.3	0.66	0	11	-1	11 JS 4,3   		Jumelé bois	304	608	130	0	RONDD
11 JS 5,5   	BO	JS  	S	14	0.85	5.5	0.66	0	11	-1	11 JS 5,5   		Jumelé bois	329	658	140	0	RONDD
11 CFY 1,4  	BO	CFY 	S	6.5	0.5	6.5	0.15	0	11	-1	11 CFY 1,4  		Contrefiché bois    	434	434	0	0	RONDD
11 CFY 2,55 	BO	CFY 	S	10	0.5	10	0.15	0	11	-1	11 CFY 2,55 		Contrefiché bois    	516	516	35	45	RONDD
11 CFZ 1,4  	BO	CFZ 	S	9.3	0.35	9.3	0.1	0	11	-1	11 CFZ 1,4  		Contrefiché bois    	434	434	35	45	RONDD
11 CFZ 2,55 	BO	CFZ 	S	16	0.35	16	0.1	0	11	-1	11 CFZ 2,55 		Contrefiché bois    	516	516	45	60	RONDD
11 HS 1,9   	BO	HS  	S	12.5	0.1	16	0.04	0	11	-1	11 HS 1,9   		Haubané bois	238	238	40	40	RONDH
11 HS 2,55  	BO	HS  	S	20	0.1	20	0.04	0	11	-1	11 HS 2,55  		Haubané bois	258	258	45	55	RONDH
11 HS 3,25  	BO	HS  	S	25	0.1	25	0.04	0	11	-1	11 HS 3,25  		Haubané bois	278	278	60	80	RONDH
11 CH 1,9   	BO	CH  	S	16	0.25	16	0.09	0	11	-1	11 CH 1,9   		Chevron bois       	476	476	50	65	RONDD
11 CH 2,55  	BO	CH  	S	20	0.25	20	0.09	0	11	-1	11 CH 2,55  		Chevron bois       	516	516	65	80	RONDD
11 CH 3,25  	BO	CH  	S	25	0.25	25	0.09	0	11	-1	11 CH 3,25  		Chevron bois       	556	556	75	0	RONDD
11 D 2      	BE	D   	S	2	0.5	-1	1000	0	11	-1	11 D 2      		Béton simple rectangulaire	262	380	40	60	RECT
11 D 2,5    	BE	D   	S	2.5	0.5	-1	1000	0	11	-1	11 D 2,5    		Béton simple rectangulaire	262	380	40	60	RECT
11 D 3,2    	BE	D   	S	3.2	0.5	-1	1000	0	11	-1	11 D 3,2    		Béton simple rectangulaire	282	420	40	65	RECT
11 D 4      	BE	D   	S	4	0.5	-1	1000	0	11	-1	11 D 4      		Béton simple rectangulaire	282	420	40	65	RECT
11 D 5      	BE	D   	S	5	0.5	-1	1000	0	11	-1	11 D 5      		Béton simple rectangulaire	302	460	40	70	RECT
11 D 6,5    	BE	D   	S	6.5	0.5	-1	1000	0	11	-1	11 D 6,5    		Béton simple rectangulaire	302	460	55	70	RECT
11 D 8      	BE	D   	S	8	0.5	-1	1000	0	11	-1	11 D 8      		Béton simple rectangulaire	322	500	65	80	RECT
11 D 10     	BE	D   	S	10	0.5	-1	1000	0	11	-1	11 D 10     		Béton simple rectangulaire	342	540	65	0	RECT
11 D 12,5   	BE	D   	S	12.5	0.5	-1	1000	0	11	-1	11 D 12,5   		Béton simple rectangulaire	342	540	70	0	RECT
11 D 16     	BE	D   	S	16	0.5	-1	1000	0	11	-1	11 D 16     		Béton simple rectangulaire	362	580	90	0	RECT
11 E 8      	BE	E   	S	8	0	-1	1000	0	11	-1	11 E 8      		Béton simple carré	475	475	65	80	CARRE
11 E 10     	BE	E   	S	10	0	-1	1000	0	11	-1	11 E 10     		Béton simple carré	500	500	65	0	CARRE
11 E 12,5   	BE	E   	S	12.5	0	-1	1000	0	11	-1	11 E 12,5   		Béton simple carré	525	525	70	0	CARRE
11 E 16     	BE	E   	S	16	0	-1	1000	0	11	-1	11 E 16     		Béton simple carré	550	550	90	0	CARRE
11 E 20     	BE	E   	S	20	0	-1	1000	0	11	-1	11 E 20     		Béton simple carré	575	575	120	0	CARRE
11 E 25     	BE	E   	S	25	0	-1	1000	0	11	-1	11 E 25     		Béton simple carré	575	575	140	0	CARRE
11 E 32     	BE	E   	S	32	0	-1	1000	0	11	-1	11 E 32     		Béton simple carré	600	600	170	0	CARRE
11 E 40     	BE	E   	S	40	0	-1	1000	0	11	-1	11 E 40     		Béton simple carré	625	625	190	0	CARRE
11 JE 8     	BE	JE  	S	16	0	-1	1000	0	11	-1	11 JE 8     		Béton carré jumelé	475	950	90	0	RECTD
11 JE 10    	BE	JE  	S	20	0	-1	1000	0	11	-1	11 JE 10    		Béton carré jumelé	500	1000	120	0	RECTD
11 JE 12,5  	BE	JE  	S	25	0	-1	1000	0	11	-1	11 JE 12,5  		Béton carré jumelé	525	1050	140	0	RECTD
11 JE 16    	BE	JE  	S	32	0	-1	1000	0	11	-1	11 JE 16    		Béton carré jumelé	550	1100	170	0	RECTD
11 JE 20    	BE	JE  	S	40	0	-1	1000	0	11	-1	11 JE 20    		Béton carré jumelé	575	1150	190	0	RECTD
11 JE 25    	BE	JE  	S	50	0	-1	1000	0	11	-1	11 JE 25    		Béton carré jumelé	575	1150	210	0	RECTD
11 JE 32    	BE	JE  	S	64	0	-1	1000	0	11	-1	11 JE 32    		Béton carré jumelé	600	1200	230	0	RECTD
11 JE 40    	BE	JE  	S	80	0	-1	1000	0	11	-1	11 JE 40    		Béton carré jumelé	625	1250	260	0	RECTD
11 A 1,50   	BE	A   	S	1.5	0.35	-1	1000	0	11	-1	11 A 1,50   		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
11 A 2      	BE	A   	S	2	0.35	-1	1000	0	11	-1	11 A 2      		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
11 A 2,5    	BE	A   	S	2.5	0.35	-1	1000	0	11	-1	11 A 2,5    		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
11 A 3      	BE	A   	S	3	0.35	-1	1000	0	11	-1	11 A 3      		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
11 A 4      	BE	A   	S	4	0.35	-1	1000	0	11	-1	11 A 4      		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
11 A 5      	BE	A   	S	5	0.35	-1	1000	0	11	-1	11 A 5      		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
11 A 6,5    	BE	A   	S	6.5	0.35	-1	1000	0	11	-1	11 A 6,5    		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
11 A 8      	BE	A   	S	8	0.35	-1	1000	0	11	-1	11 A 8      		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
11 A 10     	BE	A   	S	10	0.35	-1	1000	0	11	-1	11 A 10     		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
11 A 12,5   	BE	A   	S	12.5	0.35	-1	1000	0	11	-1	11 A 12,5   		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
11 A 16	BE	A   	S	16	0.35	-1	1000	0	11	-1	11 A 16		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
11 A 20     	BE	A   	S	20	0.35	-1	1000	0	11	-1	11 A 20     		Ancien poteau béton simple rectangulaire	252	540	0	0	RECT
11 A 25     	BE	A   	S	25	0.35	-1	1000	0	11	-1	11 A 25     		Ancien poteau béton simple rectangulaire	252	540	0	0	RECT
11 B 2      	BE	B   	S	2	0.6	-1	1000	0	11	-1	11 B 2      		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
11 B 2,5    	BE	B   	S	2.5	0.6	-1	1000	0	11	-1	11 B 2,5    		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
11 B 3      	BE	B   	S	3	0.6	-1	1000	0	11	-1	11 B 3      		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
11 B 4      	BE	B   	S	4	0.6	-1	1000	0	11	-1	11 B 4      		Ancien poteau béton simple rectangulaire	252	380	0	0	RECT
11 B 5      	BE	B   	S	5	0.6	-1	1000	0	11	-1	11 B 5      		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
11 B 6,5    	BE	B   	S	6.5	0.6	-1	1000	0	11	-1	11 B 6,5    		Ancien poteau béton simple rectangulaire	276	420	0	0	RECT
11 B 8      	BE	B   	S	8	0.6	-1	1000	0	11	-1	11 B 8      		Ancien poteau béton simple rectangulaire	300	460	0	0	RECT
11 B 10     	BE	B   	S	10	0.6	-1	1000	0	11	-1	11 B 10     		Ancien poteau béton simple rectangulaire	300	460	0	0	RECT
11 B 12,5   	BE	B   	S	12.5	0.6	-1	1000	0	11	-1	11 B 12,5   		Ancien poteau béton simple rectangulaire	300	460	0	0	RECT
11 B 16     	BE	B   	S	16	0.6	-1	1000	0	11	-1	11 B 16     		Ancien poteau béton simple rectangulaire	324	500	0	0	RECT
11 B 20     	BE	B   	S	20	0.6	-1	1000	0	11	-1	11 B 20     		Ancien poteau béton simple rectangulaire	348	540	0	0	RECT
11 B 25     	BE	B   	S	25	0.6	-1	1000	0	11	-1	11 B 25     		Ancien poteau béton simple rectangulaire	372	580	0	0	RECT
11 B 32     	BE	B   	S	32	0.6	-1	1000	0	11	-1	11 B 32     		Ancien poteau béton simple rectangulaire	372	580	0	0	RECT
11 C 1,5    	BE	C   	S	1.5	1	-1	1000	0	11	-1	11 C 1,5    		Ancien poteau béton simple carré ou rond	320	320	0	0	CARRE
11 C 2      	BE	C   	S	2	1	-1	1000	0	11	-1	11 C 2      		Ancien poteau béton simple carré ou rond	320	320	0	0	CARRE
11 C 2,5    	BE	C   	S	2.5	1	-1	1000	0	11	-1	11 C 2,5    		Ancien poteau béton simple carré ou rond	350	350	0	0	CARRE
11 C 3      	BE	C   	S	3	1	-1	1000	0	11	-1	11 C 3      		Ancien poteau béton simple carré ou rond	350	350	0	0	CARRE
11 C 4      	BE	C   	S	4	1	-1	1000	0	11	-1	11 C 4      		Ancien poteau béton simple carré ou rond	350	350	0	0	CARRE
11 C 5      	BE	C   	S	5	1	-1	1000	0	11	-1	11 C 5      		Ancien poteau béton simple carré ou rond	385	385	0	0	CARRE
11 C 6,5    	BE	C   	S	6.5	1	-1	1000	0	11	-1	11 C 6,5    		Ancien poteau béton simple carré ou rond	385	385	0	0	CARRE
11 C 8      	BE	C   	S	8	1	-1	1000	0	11	-1	11 C 8      		Ancien poteau béton simple carré ou rond	420	420	0	0	CARRE
11 C 10     	BE	C   	S	10	1	-1	1000	0	11	-1	11 C 10     		Ancien poteau béton simple carré ou rond	420	420	0	0	CARRE
11 C 12,5   	BE	C   	S	12.5	1	-1	1000	0	11	-1	11 C 12,5   		Ancien poteau béton simple carré ou rond	455	455	0	0	CARRE
11 C 16     	BE	C   	S	16	1	-1	1000	0	11	-1	11 C 16     		Ancien poteau béton simple carré ou rond	490	490	0	0	CARRE
11 C 20     	BE	C   	S	20	1	-1	1000	0	11	-1	11 C 20     		Ancien poteau béton simple carré ou rond	490	490	0	0	CARRE
11 C 25     	BE	C   	S	25	1	-1	1000	0	11	-1	11 C 25     		Ancien poteau béton simple carré ou rond	525	525	0	0	CARRE
11 C 32     	BE	C   	S	32	1	-1	1000	0	11	-1	11 C 32     		Ancien poteau béton simple carré ou rond	560	560	0	0	CARRE
11 C 40     	BE	C   	S	40	1	-1	1000	0	11	-1	11 C 40     		Ancien poteau béton simple carré ou rond	560	560	0	0	CARRE
11 JA 1,50  	BE	JA  	S	3	0.35	-1	1000	0	11	-1	11 JA 1,50  		Ancien poteau béton jumelé	376	380	0	0	RECTD
11 JA 2     	BE	JA  	S	4	0.35	-1	1000	0	11	-1	11 JA 2     		Ancien poteau béton jumelé	376	380	0	0	RECTD
11 JA 2,5   	BE	JA  	S	5	0.35	-1	1000	0	11	-1	11 JA 2,5   		Ancien poteau béton jumelé	376	380	0	0	RECTD
11 JA 3     	BE	JA  	S	6	0.35	-1	1000	0	11	-1	11 JA 3     		Ancien poteau béton jumelé	408	420	0	0	RECTD
11 JA 4     	BE	JA  	S	8	0.35	-1	1000	0	11	-1	11 JA 4     		Ancien poteau béton jumelé	408	420	0	0	RECTD
11 JA 5     	BE	JA  	S	10	0.35	-1	1000	0	11	-1	11 JA 5     		Ancien poteau béton jumelé	408	420	0	0	RECTD
11 JA 6,5   	BE	JA  	S	13	0.35	-1	1000	0	11	-1	11 JA 6,5   		Ancien poteau béton jumelé	440	460	0	0	RECTD
11 JA 8     	BE	JA  	S	16	0.35	-1	1000	0	11	-1	11 JA 8     		Ancien poteau béton jumelé	440	460	0	0	RECTD
11 JA 10    	BE	JA  	S	20	0.35	-1	1000	0	11	-1	11 JA 10    		Ancien poteau béton jumelé	440	460	0	0	RECTD
11 JA 12,5  	BE	JA  	S	25	0.35	-1	1000	0	11	-1	11 JA 12,5  		Ancien poteau béton jumelé	472	500	0	0	RECTD
11 JA 16    	BE	JA  	S	32	0.35	-1	1000	0	11	-1	11 JA 16    		Ancien poteau béton jumelé	472	500	0	0	RECTD
11 JA 20    	BE	JA  	S	40	0.35	-1	1000	0	11	-1	11 JA 20    		Ancien poteau béton jumelé	504	540	0	0	RECTD
11 JA 25    	BE	JA  	S	50	0.35	-1	1000	0	11	-1	11 JA 25    		Ancien poteau béton jumelé	504	540	0	0	RECTD
11 JB 2     	BE	JB  	S	4	0.6	-1	1000	0	11	-1	11 JB 2     		Ancien poteau béton jumelé	504	380	0	0	RECTD
11 JB 2,5   	BE	JB  	S	5	0.6	-1	1000	0	11	-1	11 JB 2,5   		Ancien poteau béton jumelé	504	380	0	0	RECTD
11 JB 3     	BE	JB  	S	6	0.6	-1	1000	0	11	-1	11 JB 3     		Ancien poteau béton jumelé	504	380	0	0	RECTD
11 JB 4     	BE	JB  	S	8	0.6	-1	1000	0	11	-1	11 JB 4     		Ancien poteau béton jumelé	504	380	0	0	RECTD
11 JB 5     	BE	JB  	S	10	0.6	-1	1000	0	11	-1	11 JB 5     		Ancien poteau béton jumelé	552	420	0	0	RECTD
11 JB 6,5   	BE	JB  	S	13	0.6	-1	1000	0	11	-1	11 JB 6,5   		Ancien poteau béton jumelé	552	420	0	0	RECTD
11 JB 8     	BE	JB  	S	16	0.6	-1	1000	0	11	-1	11 JB 8     		Ancien poteau béton jumelé	600	460	0	0	RECTD
11 JB 10    	BE	JB  	S	20	0.6	-1	1000	0	11	-1	11 JB 10    		Ancien poteau béton jumelé	600	460	0	0	RECTD
11 JB 12,5  	BE	JB  	S	25	0.6	-1	1000	0	11	-1	11 JB 12,5  		Ancien poteau béton jumelé	600	460	0	0	RECTD
11 JB 16    	BE	JB  	S	32	0.6	-1	1000	0	11	-1	11 JB 16    		Ancien poteau béton jumelé	648	500	0	0	RECTD
11 JB 20    	BE	JB  	S	40	0.6	-1	1000	0	11	-1	11 JB 20    		Ancien poteau béton jumelé	696	540	0	0	RECTD
11 JB 25    	BE	JB  	S	50	0.6	-1	1000	0	11	-1	11 JB 25    		Ancien poteau béton jumelé	744	580	0	0	RECTD
11 JC 1,5   	BE	JC  	S	3	1	-1	1000	0	11	-1	11 JC 1,5   		Ancien poteau béton jumelé	320	640	0	0	RECTD
11 JC 2     	BE	JC  	S	4	1	-1	1000	0	11	-1	11 JC 2     		Ancien poteau béton jumelé	320	640	0	0	RECTD
11 JC 2,5   	BE	JC  	S	5	1	-1	1000	0	11	-1	11 JC 2,5   		Ancien poteau béton jumelé	350	700	0	0	RECTD
11 JC 3     	BE	JC  	S	6	1	-1	1000	0	11	-1	11 JC 3     		Ancien poteau béton jumelé	350	700	0	0	RECTD
11 JC 4     	BE	JC  	S	8	1	-1	1000	0	11	-1	11 JC 4     		Ancien poteau béton jumelé	350	700	0	0	RECTD
11 JC 5     	BE	JC  	S	10	1	-1	1000	0	11	-1	11 JC 5     		Ancien poteau béton jumelé	385	770	0	0	RECTD
11 JC 6,5   	BE	JC  	S	13	1	-1	1000	0	11	-1	11 JC 6,5   		Ancien poteau béton jumelé	385	770	0	0	RECTD
11 JC 8     	BE	JC  	S	16	1	-1	1000	0	11	-1	11 JC 8     		Ancien poteau béton jumelé	420	840	0	0	RECTD
11 JC 10    	BE	JC  	S	20	1	-1	1000	0	11	-1	11 JC 10    		Ancien poteau béton jumelé	420	840	0	0	RECTD
11 JC 12,5  	BE	JC  	S	25	1	-1	1000	0	11	-1	11 JC 12,5  		Ancien poteau béton jumelé	455	910	0	0	RECTD
11 JC 16    	BE	JC  	S	32	1	-1	1000	0	11	-1	11 JC 16    		Ancien poteau béton jumelé	490	980	0	0	RECTD
11 JC 20    	BE	JC  	S	40	1	-1	1000	0	11	-1	11 JC 20    		Ancien poteau béton jumelé	490	980	0	0	RECTD
11 JC 25    	BE	JC  	S	50	1	-1	1000	0	11	-1	11 JC 25    		Ancien poteau béton jumelé	525	1050	0	0	RECTD
11 JD 2     	BE	JD  	S	4	0.5	-1	1000	0	11	-1	11 JD 2     		Béton rectangulaire jumelé	524	380	70	65	RECTD
11 JD 2,5   	BE	JD  	S	5	0.5	-1	1000	0	11	-1	11 JD 2,5   		Béton rectangulaire jumelé	524	380	70	70	RECTD
11 JD 3,2   	BE	JD  	S	6.5	0.5	-1	1000	0	11	-1	11 JD 3,2   		Béton rectangulaire jumelé	564	420	70	70	RECTD
11 JD 4     	BE	JD  	S	8	0.5	-1	1000	0	11	-1	11 JD 4     		Béton rectangulaire jumelé	564	420	70	80	RECTD
11 JD 5     	BE	JD  	S	10	0.5	-1	1000	0	11	-1	11 JD 5     		Béton rectangulaire jumelé	604	460	80	0	RECTD
11 JD 6,5   	BE	JD  	S	12.5	0.5	-1	1000	0	11	-1	11 JD 6,5   		Béton rectangulaire jumelé	604	460	80	0	RECTD
11 JD 8     	BE	JD  	S	16	0.5	-1	1000	0	11	-1	11 JD 8     		Béton rectangulaire jumelé	644	500	90	0	RECTD
11 JD 10    	BE	JD  	S	20	0.5	-1	1000	0	11	-1	11 JD 10    		Béton rectangulaire jumelé	684	540	120	0	RECTD
11 JD 12,5  	BE	JD  	S	25	0.5	-1	1000	0	11	-1	11 JD 12,5  		Béton rectangulaire jumelé	684	540	140	0	RECTD
11 JD 16    	BE	JD  	S	32	0.5	-1	1000	0	11	-1	11 JD 16    		Béton rectangulaire jumelé	724	580	170	0	RECTD
11 ER 8     	BE	ER  	S	8	0	-1	1000	0	11	-1	11 ER 8     		Béton simple carré	500	500	65	80	CARRE
11 ER 10    	BE	ER  	S	10	0	-1	1000	0	11	-1	11 ER 10    		Béton simple carré	525	525	65	0	CARRE
11 ER 12,5  	BE	ER  	S	12.5	0	-1	1000	0	11	-1	11 ER 12,5  		Béton simple carré	550	550	70	0	CARRE
11 ER 16    	BE	ER  	S	16	0	-1	1000	0	11	-1	11 ER 16    		Béton simple carré	575	575	90	0	CARRE
11 ER 20    	BE	ER  	S	20	0	-1	1000	0	11	-1	11 ER 20    		Béton simple carré	600	600	120	0	CARRE
11 JER 8    	BE	JER 	S	16	0	-1	1000	0	11	-1	11 JER 8    		Béton carré jumelé	500	1000	90	0	RECTD
11 JER 10   	BE	JER 	S	20	0	-1	1000	0	11	-1	11 JER 10   		Béton carré jumelé	525	1050	120	0	RECTD
11 JER 12,5 	BE	JER 	S	25	0	-1	1000	0	11	-1	11 JER 12,5 		Béton carré jumelé	550	1100	140	0	RECTD
11 JER 16   	BE	JER 	S	32	0	-1	1000	0	11	-1	11 JER 16   		Béton carré jumelé	575	1150	170	0	RECTD
11 JER 20   	BE	JER 	S	40	0	-1	1000	0	11	-1	11 JER 20   		Béton carré jumelé	600	1200	190	0	RECTD
12 S 1      	BO	S   	S	1	0	0.35	0	0	12	-1	12 S 1      		Simple bois	207	207	35	35	RONDBT
12 S 1,4    	BO	S   	S	1.4	0	0.45	0	0	12	-1	12 S 1,4    		Simple bois	227	227	40	40	RONDBT
12 S 1,9    	BO	S   	S	1.9	0	0.65	0	0	12	-1	12 S 1,9    		Simple bois	248	248	40	40	RONDBT
12 S 2,55   	BO	S   	S	2.55	0	0.85	0	0	12	-1	12 S 2,55   		Simple bois	268	268	45	50	RONDBT
12 S 3,25   	BO	S   	S	3.25	0	1.1	0	0	12	-1	12 S 3,25   		Simple bois	288	288	50	70	RONDBT
12 S 4,3    	BO	S   	S	4.3	0	1.5	0	0	12	-1	12 S 4,3    		Simple bois	314	314	70	90	RONDBT
12 S 5,5    	BO	S   	S	5.5	0	2	0	0	12	-1	12 S 5,5    		Simple bois	339	339	85	0	RONDBT
