Nom	Nature	Classe	Structure	Effort nominal	Tau	Effort transversal en DP	Tau en DP	Caché	Hauteur totale	Element de base	Nom CAPFT	NomGESPOT	Description	Largeurbase	Epaisseurbase	bC3	bC3C	Graphique
10 M 4	ME	M	S	4	0	-1	1000	0	10	-1	10 M 4		Métal simple					RONDBT
11 M 1,4	ME	M	S	1.4	0	-1	1000	0	11	-1	11 M 1,4		Métal simple					RONDBT
11 M 2	ME	M	S	2	0	-1	1000	0	11	-1	11 M 2		Métal simple					RONDBT
11 M 2,55	ME	M	S	2.55	0	-1	1000	0	11	-1	11 M 2,55		Métal simple					RONDBT
11 M 3,25	ME	M	S	3.25	0	-1	1000	0	11	-1	11 M 3,25		Métal simple					RONDBT
11 M 4	ME	M	S	4	0	-1	1000	0	11	-1	11 M 4		Métal simple					RONDBT
12 M 1,4	ME	M	S	1.4	0	-1	1000	0	12	-1	12 M 1,4		Métal simple					RONDBT
12 M 2	ME	M	S	2	0	-1	1000	0	12	-1	12 M 2		Métal simple					RONDBT
12 M 2,55	ME	M	S	2.55	0	-1	1000	0	12	-1	12 M 2,55		Métal simple					RONDBT
12 M 3,25	ME	M	S	3.25	0	-1	1000	0	12	-1	12 M 3,25		Métal simple					RONDBT
12 M 4	ME	M	S	4	0	-1	1000	0	12	-1	12 M 4		Métal simple					RONDBT
13 M 1,4	ME	M	S	1.4	0	-1	1000	0	13	-1	13 M 1,4		Métal simple					RONDBT
13 M 2	ME	M	S	2	0	-1	1000	0	13	-1	13 M 2		Métal simple					RONDBT
13 M 2,55	ME	M	S	2.55	0	-1	1000	0	13	-1	13 M 2,55		Métal simple					RONDBT
13 M 3,25	ME	M	S	3.25	0	-1	1000	0	13	-1	13 M 3,25		Métal simple					RONDBT
13 M 4	ME	M	S	4	0	-1	1000	0	13	-1	13 M 4		Métal simple					RONDBT
14 M 1,4	ME	M	S	1.4	0	-1	1000	0	14	-1	14 M 1,4		Métal simple					RONDBT
14 M 2	ME	M	S	2	0	-1	1000	0	14	-1	14 M 2		Métal simple					RONDBT
14 M 2,55	ME	M	S	2.55	0	-1	1000	0	14	-1	14 M 2,55		Métal simple					RONDBT
14 M 3,25	ME	M	S	3.25	0	-1	1000	0	14	-1	14 M 3,25		Métal simple					RONDBT
14 M 4	ME	M	S	4	0	-1	1000	0	14	-1	14 M 4		Métal simple					RONDBT
15 M 1,4	ME	M	S	1.4	0	-1	1000	0	15	-1	15 M 1,4		Métal simple					RONDBT
15 M 2	ME	M	S	2	0	-1	1000	0	15	-1	15 M 2		Métal simple					RONDBT
15 M 2,55	ME	M	S	2.55	0	-1	1000	0	15	-1	15 M 2,55		Métal simple					RONDBT
15 M 3,25	ME	M	S	3.25	0	-1	1000	0	15	-1	15 M 3,25		Métal simple					RONDBT
15 M 4	ME	M	S	4	0	-1	1000	0	15	-1	15 M 4		Métal simple					RONDBT
10 E 6,5      	BE	E   	S	6.5	0	-1	1000	0	10	-1	10 E 6,5      		Béton simple carré	450	450	60	80	CARRE
11 E 6,5      	BE	E   	S	6.5	0	-1	1000	0	11	-1	11 E 6,5      		Béton simple carré	475	475	65	80	CARRE
12 E 6,5      	BE	E   	S	6.5	0	-1	1000	0	12	-1	12 E 6,5      		Béton simple carré	500	500	70	85	CARRE
13 E 6,5      	BE	E   	S	6.5	0	-1	1000	0	13	-1	13 E 6,5      		Béton simple carré	525	525	70	90	CARRE
14 E 6,5      	BE	E   	S	6.5	0	-1	1000	0	14	-1	14 E 6,5      		Béton simple carré	550	550	75	0	CARRE
15 A 5	BE	A   	S	5	0.35	-1	1000	0	15	-1	15 A 5		Ancien poteau béton simple rectangulaire	228	480	0	0	RECT
8 CFY 1,4  	BO	CFY 	S	6.5	0.5	6.5	0.15	0	8	-1	8 CFY 1,4  		Contrefiché bois    	414	414	0	30	RONDD
8 CFY 1,9	BO	CFY 	S	8	0.5	10	0.15	0	8	-1	8 CFY 1,9		Contrefiché bois    	454	454	55	70	RONDD
8 CFY 2,55 	BO	CFY 	S	10	0.5	10	0.15	0	8	-1	8 CFY 2,55 		Contrefiché bois    	496	496	40	45	RONDD
8 CFZ 1,4  	BO	CFZ 	S	9.3	0.35	9.3	0.1	0	8	-1	8 CFZ 1,4  		Contrefiché bois    	414	414	40	45	RONDD
8 CFZ 2,55 	BO	CFZ 	S	16	0.35	16	0.1	0	8	-1	8 CFZ 2,55 		Contrefiché bois    	496	496	50	65	RONDD
8 CH 1,9   	BO	CH  	S	16	0.25	16	0.09	0	8	-1	8 CH 1,9   		Chevron bois       	454	454	55	70	RONDD
8 CH 2,55  	BO	CH  	S	20	0.25	20	0.09	0	8	-1	8 CH 2,55  		Chevron bois       	496	496	70	85	RONDD
8 CH 3,25  	BO	CH  	S	25	0.25	25	0.09	0	8	-1	8 CH 3,25  		Chevron bois       	536	536	80	0	RONDD
8 HS 1,4	BO	HS  	S	8	0.18	8	0.05	0	8	-1	8 HS 1,4		Haubané bois	207	207	35	40	RONDH
8 HS 1,9   	BO	HS  	S	16	0.1	16	0.04	0	8	-1	8 HS 1,9   		Haubané bois	227	227	40	45	RONDH
8 HS 2,55  	BO	HS  	S	20	0.1	20	0.04	0	8	-1	8 HS 2,55  		Haubané bois	248	248	45	65	RONDH
8 HS 3,25  	BO	HS  	S	25	0.1	25	0.04	0	8	-1	8 HS 3,25  		Haubané bois	268	268	60	85	RONDH
8 HSC 1,15	BO	HSC 		8	0.18	8	0.05	0	8	-1	8 HSC 1,15		Haubané bois	207	207	35	40	RONDH
8 HSD 2	BO	HSD 		12.5	0.18	12.5	0.05	0	8	-1	8 HSD 2		Haubané bois	227	227	40	45	RONDH
8 JS 1     	BO	JS  	S	2.55	0.85	1	0.66	0	8	-1	8 JS 1     		Jumelé bois	192	384	60	80	RONDD
8 JS 1,4   	BO	JS  	S	3.2	0.85	1.4	0.66	0	8	-1	8 JS 1,4   		Jumelé bois	207	414	70	90	RONDD
8 JS 1,9   	BO	JS  	S	5	0.85	2	0.66	0	8	-1	8 JS 1,9   		Jumelé bois	227	454	90	0	RONDD
8 JS 2,55  	BO	JS  	S	6.5	0.85	2.6	0.66	0	8	-1	8 JS 2,55  		Jumelé bois	248	496	105	0	RONDD
8 JS 3,25  	BO	JS  	S	8	0.85	3.3	0.66	0	8	-1	8 JS 3,25  		Jumelé bois	268	536	130	0	RONDD
8 JS 4,3   	BO	JS  	S	10.1	0.85	4.3	0.66	0	8	-1	8 JS 4,3   		Jumelé bois	293	586	140	0	RONDD
8 JS 5,5   	BO	JS  	S	14	0.85	5.5	0.66	0	8	-1	8 JS 5,5   		Jumelé bois	313	626	145	0	RONDD
8 JSC 1,15	BO	JSC 		3.45	0.85	1.35	0.65	0	8	-1	8 JSC 1,15		Jumelé bois	227	454	90	0	RONDD
8 JSD 2	BO	JSD 		5.75	0.85	2.25	0.65	0	8	-1	8 JSD 2		Jumelé bois	248	496	105	0	RONDD
8 JSE 3,05	BO	JSE 		8.1	0.85	3.3	0.65	0	8	-1	8 JSE 3,05		Jumelé bois					RONDD
8 S 1      	BO	S   	S	1	0	0.35	0	0	8	-1	8 S 1      		Simple bois	192	192	35	35	RONDBT
8 S 1,4    	BO	S   	S	1.4	0	0.45	0	0	8	-1	8 S 1,4    		Simple bois	207	207	35	40	RONDBT
8 S 1,9    	BO	S   	S	1.9	0	0.65	0	0	8	-1	8 S 1,9    		Simple bois	227	227	40	45	RONDBT
8 S 2,55   	BO	S   	S	2.55	0	0.85	0	0	8	-1	8 S 2,55   		Simple bois	248	248	45	65	RONDBT
8 S 3,25   	BO	S   	S	3.25	0	1.1	0	0	8	-1	8 S 3,25   		Simple bois	268	268	60	85	RONDBT
8 S 4,3    	BO	S   	S	4.3	0	1.5	0	0	8	-1	8 S 4,3    		Simple bois	293	293	75	90	RONDBT
8 S 5,5    	BO	S   	S	5.5	0	2	0	0	8	-1	8 S 5,5    		Simple bois	313	313	80	0	RONDBT
8 SC 1,15  	BO	SC  		1.15	0	0.45	0	0	8	-1	8 SC 1,15  		Ancien simple bois	192	192	35	35	RONDBT
8 SCX 1,15	BO	SCX 		3	0.65	3	0.5	0	8	-1	8 SCX 1,15		Ancien contrefiché bois					RONDD
8 SCY 1,15	BO	SCY 		5.6	0.55	5.6	0.42	0	8	-1	8 SCY 1,15		Ancien contrefiché bois					RONDD
8 SD 2     	BO	SD  		2	0	0.75	0	0	8	-1	8 SD 2     		Ancien simple bois	227	227	40	45	RONDBT
8 SDY 2	BO	SDY 		8.9	0.55	8.9	0.42	0	8	-1	8 SDY 2		Ancien contrefiché bois					RONDD
8 SDZ 2	BO	SDZ 		14.1	0.35	14.1	0.27	0	8	-1	8 SDZ 2		Ancien contrefiché bois					RONDD
8 SE 3,05  	BO	SE  		3.05	0	1.1	0	0	8	-1	8 SE 3,05  		Ancien simple bois	268	268	60	85	RONDBT
8 A 18      	BE	A   	S	18	0.35	-1	1000	0	8	-1	8 A 18      		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
9 A 18      	BE	A   	S	18	0.35	-1	1000	0	9	-1	9 A 18      		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
10 A 18     	BE	A   	S	18	0.35	-1	1000	0	10	-1	10 A 18     		Ancien poteau béton simple rectangulaire	228	480	0	0	RECT
11 A 18	BE	A   	S	18	0.35	-1	1000	0	11	-1	11 A 18		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
12 A 18     	BE	A   	S	18	0.35	-1	1000	0	12	-1	12 A 18     		Ancien poteau béton simple rectangulaire	244	520	0	0	RECT
13 A 18     	BE	A   	S	18	0.35	-1	1000	0	13	-1	13 A 18     		Ancien poteau béton simple rectangulaire	252	540	0	0	RECT
14 A 18     	BE	A   	S	18	0.35	-1	1000	0	14	-1	14 A 18     		Ancien poteau béton simple rectangulaire	260	560	0	0	RECT
